Qatar,QAT,11800,0.515086082,3.17197657,1.58175E+11,61649.4827,92.88482645,223.2992167,4.239755685,615499,1950209,1175.59,6.1
Romania,ROU,150400,0.410174555,4.94264841,1.75861E+11,8874.845412,55.76315563,86.12489569,-0.470052228,10169092,9646524,10917.79,11.5
Russian Federation,RUS,1490000,1.142318762,5.29560423,1.32573E+12,11052.67809,70.09924123,8.798804045,0.192557947,77337012,66759858,52176.06,32
South Africa,ZAF,82150,1.337696936,8.20090294,3.09749E+11,5592.515224,51.91911572,45.65726286,1.532242773,28049365,27337004,10964.38,24.5
Spain,ESP,199950,0.214438848,9.12686825,1.19485E+12,25726.23959,78.68963187,92.95268592,-0.077588862,23640092,22804740,55147.04,7.9
Switzerland,CHE,20950,0.055586446,11.36931515,7.17176E+11,86590.44234,87.4790556,209.5958526,1.138337152,4183323,4099073,21866.6,15
Thailand,THA,454550,0.655575219,3.66789317,3.80595E+11,5538.787307,39.31612674,134.4996359,0.402136059,35155051,33559468,8706.83,8
Turkey,TUR,512000,0.406783777,4.11690378,8.54633E+11,10882.96232,53.74497914,102.0352806,1.669481585,39879351,38650062,33233.85,2.3
Ukraine,UKR,256000,2.096759181,7.77607775,89919705924,2791.680755,48.88464368,77.94720434,-0.26124968,24264557,20889479,7272.89,21.6
United Kingdom,GBR,152350,0.136515303,9.90435219,2.86512E+12,44000.13662,92.00029987,269.1531393,0.792367506,33021393,32094826,99616.02,8.8
United States,USA,1347300,0.273204731,16.71075249,1.8696E+13,58290.43038,74.55420245,35.06332868,0.736217309,162095782,158643212,429988.89,14.4
Uruguay,URY,25450,0.12369941,9.00821114,50826382338,14896.30384,64.5707871,19.49498914,0.339789877,1766341,1645672,688.05,18.6
Mexico,MEX,336050,0.403279344,5.79708719,1.1416E+12,9368.283751,57.43104299,62.68589779,1.241164502,62264080,59594171,14585.58,5.6
Vietnam,VNM,522000,1.082585385,5.65262079,1.83321E+11,1978.05649,45,298.8908376,1.044781055,46479616,46197466,2299.45,7.7
